Age 	 GS
5.423475699999999961e+03	1.534489999999999839e+02
5.423530399999999645e+03	1.548089999999999975e+02
5.423582800000000134e+03	1.557800000000000011e+02
5.423634200000000419e+03	1.569840000000000089e+02
5.423684100000000399e+03	1.585629999999999882e+02
5.423732600000000275e+03	1.603129999999999882e+02
5.423779800000000250e+03	1.619070000000000107e+02
5.423825899999999820e+03	1.631339999999999861e+02
5.423870499999999993e+03	1.643820000000000050e+02
5.423914600000000064e+03	1.651740000000000066e+02
5.423958000000000538e+03	1.659470000000000027e+02
5.424000600000000304e+03	1.669180000000000064e+02
5.424042599999999766e+03	1.678700000000000045e+02
5.424084100000000035e+03	1.680550000000000068e+02
5.424124899999999798e+03	1.672209999999999752e+02
5.424165899999999965e+03	1.656390000000000100e+02
5.424206699999999728e+03	1.629159999999999968e+02
5.424247400000000198e+03	1.589590000000000032e+02
5.424288300000000163e+03	1.554660000000000082e+02
5.424329399999999623e+03	1.534060000000000059e+02
5.424370799999999690e+03	1.524399999999999977e+02
5.424412199999999757e+03	1.526069999999999993e+02
5.424454700000000230e+03	1.542309999999999945e+02
5.424498300000000199e+03	1.561899999999999977e+02
5.424542599999999766e+03	1.587270000000000039e+02
5.424587700000000041e+03	1.614879999999999995e+02
5.424633200000000215e+03	1.640749999999999886e+02
5.424678700000000390e+03	1.664209999999999923e+02
5.424724799999999959e+03	1.684840000000000089e+02
5.424770999999999731e+03	1.708379999999999939e+02
5.424817100000000210e+03	1.729600000000000080e+02
5.424863000000000284e+03	1.747030000000000030e+02
5.424908500000000458e+03	1.756179999999999950e+02
5.424953000000000429e+03	1.759970000000000141e+02
5.424997299999999996e+03	1.759629999999999939e+02
5.425040700000000470e+03	1.753359999999999843e+02
5.425083200000000033e+03	1.737340000000000089e+02
5.425124499999999898e+03	1.711159999999999854e+02
5.425164200000000164e+03	1.683199999999999932e+02
5.425202800000000025e+03	1.657170000000000130e+02
5.425239800000000287e+03	1.629629999999999939e+02
5.425275099999999838e+03	1.598460000000000036e+02
5.425308500000000095e+03	1.566020000000000039e+02
5.425339899999999943e+03	1.535220000000000198e+02
5.425368800000000192e+03	1.511659999999999968e+02
5.425395700000000033e+03	1.494050000000000011e+02
5.425420100000000275e+03	1.485220000000000198e+02
5.425443000000000211e+03	1.486730000000000018e+02
5.425465400000000045e+03	1.496440000000000055e+02
5.425487299999999777e+03	1.511179999999999950e+02
5.425508600000000115e+03	1.535790000000000077e+02
5.425529599999999846e+03	1.570130000000000052e+02
5.425550199999999677e+03	1.604859999999999900e+02
5.425570400000000518e+03	1.641959999999999980e+02
5.425590199999999641e+03	1.683329999999999984e+02
5.425609500000000480e+03	1.709329999999999927e+02
5.425628300000000309e+03	1.730370000000000061e+02
5.425646899999999732e+03	1.750200000000000102e+02
5.425665100000000166e+03	1.762050000000000125e+02
5.425683000000000902e+03	1.778779999999999859e+02
5.425700499999999920e+03	1.797790000000000248e+02
5.425717700000000150e+03	1.814809999999999945e+02
5.425734500000000480e+03	1.826809999999999832e+02
5.425750900000000001e+03	1.833090000000000259e+02
5.425767100000000028e+03	1.838520000000000039e+02
5.425783099999999649e+03	1.843529999999999802e+02
5.425798700000000281e+03	1.842429999999999950e+02
