Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
4.472	1.11	3.80	6.08	0.10	11.46	0.77	1.10	4.75	0.08	0.91	0.65	0.020	19.87	0.63	0.26	5422.9716	5.4230
4.499	1.30	3.33	6.27	0.00	18.73	0.83	1.36	5.03	0.12	0.72	0.54	0.021	7.55	0.53	0.31	5423.1155	5.4231
4.527	1.18	3.81	9.56	0.00	11.82	0.85	1.06	5.92	0.12	0.96	0.55	0.030	24.21	0.79	0.43	5423.2521	5.4233
4.554	1.18	4.14	6.20	0.00	8.60	0.88	1.12	5.86	0.12	0.84	0.37	0.111	8.44	0.32	0.41	5423.3747	5.4234
4.581	1.10	4.39	5.91	0.00	12.78	0.84	1.22	5.60	0.10	0.82	0.55	0.059	11.39	0.62	0.34	5423.4901	5.4235
4.608	1.26	5.02	6.15	0.00	10.62	0.82	1.24	5.55	0.11	0.42		0.030	7.70	0.86	0.41	5423.6001	5.4236
4.635	1.36	3.92	8.68	0.11	10.94	0.85	1.25	5.96	0.10	0.74	0.66	0.021	22.67	0.66	0.35	5423.7066	5.4237
4.662	1.08	4.02	5.75	0.00	8.74	0.87	1.37	5.96	0.10	1.00	0.28	0.037	6.81	0.47	0.38	5423.8112	5.4238
4.689	1.18	3.50	6.42	0.00	10.08	0.84	1.25	5.87	0.11	0.67	0.54	0.005	21.15	0.87	0.36	5423.9158	5.4239
4.716	1.00	2.06	2.94	0.22	8.10	0.86	1.18	5.07	0.11	0.80	0.26	0.045	7.13	0.51	0.36	5424.0223	5.4240
4.743	0.94	3.49	7.22	0.11	10.65	0.86	1.26	4.83	0.08	0.90	0.45	0.024	11.53	0.94	0.25	5424.1339	5.4241
4.770	1.16	3.66	8.88	0.00	9.83	0.84	1.33	5.31	0.11	0.86	0.27	0.068	20.79	0.42	0.44	5424.2495	5.4242
4.797	0.67	4.24	8.61	0.11	7.45	0.87	1.49	5.12	0.07	0.72	0.48	0.018	16.49	0.37	0.42	5424.3667	5.4244
