Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
239.950	1.12	3.33	0.70	0.00	13.64	0.97	1.41	12.27	0.20	1.41	0.18	0.012	2.54	0.40	0.78	6124.1415	6.1241
239.977	1.51	6.86	1.63	0.07	32.33	0.98	1.84	12.36	0.20	1.60	0.38	0.165	6.64	0.76	0.88	6124.2634	6.1243
240.004	1.27	3.66	0.93	0.15	19.85	0.95	1.70	11.75	0.18	1.30	0.23	0.026	3.56	0.53	1.12	6124.3932	6.1244
240.031	0.88	3.09	1.04	0.00	16.93	0.98	1.75	11.87	0.22	1.56	0.16	0.007	4.57	0.52	0.92	6124.5267	6.1245
240.058	1.07	2.92	0.53	0.07	16.28	0.93	1.78	11.41	0.24	1.55	0.13	0.017	4.97	0.39	0.69	6124.6596	6.1247
240.085	0.94	2.04	0.92	0.08	9.62	0.95	1.66	11.42	0.21	1.60	0.05	0.016	2.92	0.15	0.63	6124.7878	6.1248
240.112	1.13	1.53	0.65	0.00	8.56	0.97	1.30	14.94	0.19	1.69	0.07	0.008	2.79	0.18	0.65	6124.9069	6.1249
240.139	1.38	3.07	1.10	0.00	17.21	0.97	1.20	17.30	0.23	1.95	0.27	0.008	25.54	0.26	0.73	6125.0128	6.1250
240.166	1.15	2.94	0.73	0.00	9.28	0.98	1.35	16.60	0.16	1.54	0.12	0.026	4.54	0.19	0.73	6125.1089	6.1251
240.193	1.24	2.91	1.18	0.08	19.36	1.02	1.33	13.99	0.19	1.55	0.49	0.002	8.50	0.60	0.66	6125.1995	6.1252
240.220	1.10	4.77	1.27	0.29	21.69	0.94	1.49	13.12	0.22	1.95	0.27	0.010	4.31	0.47	0.86	6125.2859	6.1253
240.247	1.18	5.02	1.91	0.00	28.53	0.92	1.65	12.34	0.23	1.41	0.54	0.007	6.47	0.59	0.79	6125.3689	6.1254
240.274	1.33	3.39	1.10	0.08	16.38	0.94	1.75	13.17	0.21	1.57	0.16	0.016	4.19	0.75	0.75	6125.4495	6.1254
240.301	1.26	2.60	1.65	0.00	14.98	0.95	1.47	16.15	0.21	1.64	0.14	0.016	4.80	0.36	0.77	6125.5289	6.1255
240.328	1.39	1.93	0.84	0.00	13.12	0.91	1.21	19.86	0.24	1.60	0.09	0.000	6.01	0.27	0.82	6125.6079	6.1256
240.356	1.19	3.86	1.14	0.08	23.55	0.93	1.11	19.10	0.25	1.41	0.26	0.009	4.71	0.49	0.80	6125.6906	6.1257
240.383	1.22	4.50	0.88	0.00	18.63	0.95	1.18	16.40	0.21	1.52	0.14	0.012	3.22	0.60	0.89	6125.7721	6.1258
240.410	1.36	3.85	1.00	0.16	19.70	0.98	1.32	15.88	0.23	1.84	0.23	0.009	7.23	0.53	0.78	6125.8563	6.1259
240.437	1.29	4.44	1.30	0.00	16.31	0.90	1.51	13.13	0.23	2.25	0.14	0.022	4.80	0.91	0.84	6125.9442	6.1259
240.464	1.19	4.68	1.76	0.08	22.24	0.92	1.75	12.98	0.24	1.97	0.23	0.010	3.92	0.60	0.79	6126.037	6.1260
240.491	1.22	4.58	1.22	0.00	14.99	0.94	1.75	13.18	0.17	1.64	0.22	0.006	5.72	0.41	0.91	6126.1359	6.1261
240.518	1.50	3.95	0.67	0.08	13.83	0.93	1.57	13.36	0.23	1.79	0.29	0.002	2.36	0.53	0.82	6126.2399	6.1262
240.545	1.04	3.62	0.70	0.00	9.23	0.95	1.78	11.46	0.20	1.68	0.18	0.009	5.51	0.49	0.58	6126.3476	6.1263
240.572	0.86	4.53	3.30	0.18	8.47	0.92	1.94	11.60	0.21	1.72	0.09	0.037	17.39	0.86	0.72	6126.4577	6.1265
240.599	1.15	4.90	0.83	0.08	13.87	0.98	1.90	10.11	0.23	1.87	0.20	0.016	10.00	1.25	0.64	6126.5689	6.1266
240.626	1.13	5.41	0.86	0.08	14.74	0.96	1.83	11.82	0.25	1.88	0.12	0.005	6.05	2.15	0.86	6126.6798	6.1267
240.653	0.94	3.61	1.27	0.00	8.10	0.90	1.65	11.16	0.25	2.31	0.08	0.002	6.42	1.01	0.90	6126.7889	6.1268
240.680	1.10	4.39	1.27	0.08	8.96	0.93	1.90	12.08	0.29	1.81	0.25	0.000	4.23	0.56	0.74	6126.895	6.1269
240.707	1.00	2.45	0.54	0.08	7.78	0.92	1.65	13.60	0.30	1.57	0.05	0.009	3.70	0.18	0.82	6126.9967	6.1270
240.734	1.25	3.13	0.96	0.08	8.06	0.94	1.44	15.74	0.30	1.69	0.22	0.013	3.55	0.31	0.83	6127.0958	6.1271
240.761	1.60	4.43	1.65	0.08	17.99	0.98	1.37	16.42	0.28	2.02	0.33	0.031	17.79	0.55	0.91	6127.1953	6.1272
240.788	1.61	9.02	2.61	0.00	24.75	1.04	1.76	15.96	0.24	1.82	0.26	0.029	11.33	0.68	1.22	6127.2947	6.1273
240.815	0.94	3.82	1.02	0.08	10.75	0.95	1.81	12.48	0.25	1.62	0.10	0.083	8.49	0.40	1.07	6127.3937	6.1274
240.842	1.12	6.78	0.42	0.08	12.01	0.91	1.74	11.30	0.28	1.21	0.05	0.596	20.26	0.32	0.72	6127.4917	6.1275
240.869	1.18	4.53	1.60	0.00	23.33	0.97	1.77	12.31	0.22	1.90	0.27	0.009	29.76	0.29	0.68	6127.5883	6.1276
240.897	1.32	7.20	1.48	0.08	22.45	1.00	1.76	12.80	0.24	1.53	0.24	0.017	8.87	0.98	0.85	6127.6866	6.1277
240.924	1.31	10.55	2.14	0.16	23.62	0.89	1.99	13.06	0.27	1.67	0.29	0.009	7.01	0.73	1.04	6127.779	6.1278
240.951	0.99	5.19	1.89	0.09	15.81	0.86	1.64	14.21	0.22	1.93	0.14	0.008	15.44	0.35	1.07	6127.8688	6.1279
240.978	0.94	3.23	1.07	0.00	11.23	0.84	1.74	15.17	0.24	2.01	0.16	0.146	4.61	0.28	0.85	6127.9554	6.1280
241.005	1.17	2.14	0.51	0.00	10.85	0.83	1.73	14.00	0.26	1.85	0.09	0.060	8.50	0.23	0.66	6128.0382	6.1280
241.032	1.26	4.55	2.20	0.09	8.28	0.81	1.91	15.74	0.27	1.95	0.07	0.008	24.19	0.91	0.82	6128.1157	6.1281
241.059	1.63	2.48	0.97	0.10	19.39	0.80	1.60	19.17	0.21	1.68	0.09	0.037	13.70	0.33	0.99	6128.1888	6.1282
241.086	1.39	2.58	0.94	0.09	7.06	0.89	1.19	15.88	0.23	1.86	0.07	0.048	56.30	0.40	0.87	6128.2584	6.1283
241.113	1.33	4.55	1.35		12.04	0.79	1.50	18.88	0.23	2.17	0.12	0.006	23.07	1.02	1.02	6128.3258	6.1283
241.140	1.34	2.42	1.12	0.00	11.03	0.77	1.51	20.98	0.25	1.76	0.19	0.018	16.85	0.37	1.07	6128.3919	6.1284
241.167	1.43	2.34	0.74	0.00	17.15	0.80	1.22	17.82	0.26	1.41	0.15	0.016	16.03	0.49	0.93	6128.458	6.1285
241.194	1.04	2.36	1.43	0.00	29.05	0.80	1.18	19.12	0.26	1.62	1.01	0.013	16.99	0.46	0.94	6128.5251	6.1285
241.221	1.25	2.59	0.75	0.00	15.15	0.82	1.18	17.41	0.24	1.64	0.16		12.30	0.45	1.08	6128.5943	6.1286
241.248	1.14	4.47	0.76	0.00	10.44	0.80	1.47	18.43	0.28	1.66	0.05	0.038	21.34	0.48	1.17	6128.6667	6.1287
241.275	1.12	3.96	2.07	0.00	12.04	0.75	1.28	18.64	0.30	1.64	0.23	0.020	46.42	0.85	0.93	6128.7435	6.1287
241.302	1.30	2.89	1.23	0.22	10.95	0.78	1.25	18.52	0.29	1.52	0.38	0.007	43.11	0.65	1.20	6128.8257	6.1288
241.329	1.29	4.06	0.75	0.11	8.02	0.84	1.33	16.80	0.31	1.06	0.22	0.153	10.39	4.48	1.03	6128.9144	6.1289
241.356	1.31	8.69	1.88	0.11	12.20	0.95	1.27	14.55	0.25	1.35	0.15	0.021	9.71	0.81	0.81	6129.011	6.1290
241.383	1.12	5.59	1.76	0.00	12.37	1.07	1.42	16.88	0.19	1.35	0.16	0.023	15.99	0.52	0.97	6129.131	6.1291
241.411	1.35	4.74	0.53	0.00	17.28	1.07	1.38	15.54	0.20	1.64	0.14	0.014	5.37	1.09	0.99	6129.282	6.1293
241.438	1.35	5.15	1.10	0.09	13.71	0.95	1.45	15.03	0.22	1.62	0.18	0.015	4.36	0.72	0.74	6129.4422	6.1294
241.465	1.32	5.27	1.99	0.00	15.20	0.88	1.46	13.65	0.26	1.54	0.18	0.011	6.27	0.55	0.78	6129.6057	6.1296
241.492	1.03	4.51	0.89	0.62	35.01	0.87	1.68	14.70	0.23	1.68	0.24	0.016	6.26	0.49	0.81	6129.7619	6.1298
241.519	1.28	4.19	1.50	0.00	15.08	0.92	1.53	14.57	0.27	1.71	0.21	0.017	6.67	0.78	0.82	6129.8999	6.1299
241.546	1.71	5.68	1.90	0.25	19.15	0.98	1.41	17.94	0.26	2.00	0.35	0.006	2.70	0.79	0.95	6130.0091	6.1300
241.573	1.40	5.05	1.08	0.08	15.09	0.96	1.29	20.43	0.26	1.77	0.10	0.007	4.65	0.47	1.35	6130.099	6.1301
241.600	1.33	4.58	2.43	0.17	13.27	0.96	1.24	19.19	0.26	1.86	0.11	0.000	1.81	0.50	1.02	6130.1826	6.1302
241.627	1.25	2.22	1.66	0.09	6.29	1.02	1.10	19.76	0.26	1.58	0.04	0.016	2.91	0.41	1.04	6130.2606	6.1303
241.654	1.81	4.55	0.86	0.09	20.92	1.15	1.17	20.33	0.27	1.71	0.38	0.008	2.45	0.42	1.04	6130.3337	6.1303
241.681	1.54	4.19	0.68	0.00	11.46	0.91	1.07	19.33	0.26	1.62	0.04	0.038	2.44	0.95	1.24	6130.4025	6.1304
241.708	1.12	2.85	1.77	0.00	6.75	0.96	1.31	18.37	0.24	1.82	0.18	0.004	1.84	0.48	0.97	6130.4678	6.1305
241.735	1.32	4.83	1.66	0.00	19.23	1.05	1.24	16.92	0.28	1.82	0.20	0.007	4.49	0.86	0.98	6130.5303	6.1305
241.762	1.45	3.63	0.86	0.09	14.07	1.05	1.37	16.52	0.22	1.55	0.11	0.000	7.13	0.72	1.11	6130.5908	6.1306
241.789	1.27	2.94	1.05	0.00	11.36	1.00	1.55	13.16	0.25	1.53	0.12	0.005	5.97	0.52	0.79	6130.6499	6.1306
241.816	1.22	3.80	1.09	0.48	14.50	0.93	1.65	13.81	0.24	2.20	0.11	0.018	2.86	0.34	0.85	6130.7083	6.1307
241.843	1.00	4.22	1.14	0.08	12.24	0.94	1.63	14.18	0.25	1.83	0.15	0.013	4.34	0.73	0.97	6130.7668	6.1308
241.870	1.52	3.76	0.54	0.17	9.26	0.90	1.80	12.85	0.26	1.72	0.14	0.018	3.35	0.35	0.82	6130.826	6.1308
241.897	1.56	5.59	0.88	0.00	17.53	0.94	1.87	13.60	0.25	2.07	0.25	0.010	8.21	0.87	0.78	6130.8867	6.1309
241.924	1.37	3.01	0.90	0.00	15.71	0.96	1.60	15.36	0.24	1.93	0.06	0.024	7.61	0.50	0.92	6130.9496	6.1309
241.952	1.20	1.93	0.87	0.09	16.11	0.92	1.42	16.39	0.22	1.88	0.10	0.019	3.69	0.37	0.86	6131.0178	6.1310
241.979	1.57	3.14	1.02	0.09	8.59	0.88	1.46	18.42	0.23	1.78	0.10	0.000	3.96	0.38	0.97	6131.084	6.1311
242.006	1.35	5.06	2.43	0.00	21.67	0.96	1.43	21.42	0.27	1.81	0.32	0.044	5.49	1.44	0.98	6131.1495	6.1311
242.033	1.54	6.79	2.48	0.00	18.92	0.96	1.18	22.00	0.23	1.76	0.15	0.019	3.34	0.88	1.52	6131.2146	6.1312
242.060	1.16	3.67	1.32	0.00	15.99	0.95	1.04	19.83	0.22	1.38	0.12	0.000	6.67	0.78	1.07	6131.2795	6.1313
242.087	1.05	4.23	0.84	0.00	12.00	0.89	1.24	16.43	0.23	1.61	0.11	0.006	6.53	0.46	0.90	6131.3445	6.1313
242.114	0.80	2.27	0.33	0.00	12.06	0.86	1.43	15.99	0.26	1.30	0.12	0.000	1.99	0.21	0.81	6131.4098	6.1314
242.141	1.03	2.84	0.89	0.00	8.60	0.85	1.39	14.73	0.33	1.57	0.92	0.014	2.27	0.33	0.69	6131.4757	6.1315
242.168	1.09	3.21	0.76	0.00	11.03	0.95	1.77	16.23	0.30	1.55	0.08	0.002	3.78	0.41	0.80	6131.5424	6.1315
242.195	1.54	2.31	1.27	0.00	4.93	0.92	1.33	19.47	0.23	1.38	0.08	0.013	6.13	0.42	0.89	6131.6102	6.1316
242.222	1.57	2.30	0.56	0.00	5.96	1.08	1.24	22.65	0.24	1.58	0.06	0.005	4.15	0.18	0.95	6131.6793	6.1317
242.249	1.41	2.07	0.76	0.00	4.69	1.03	1.03	21.49	0.23	1.26	0.07	0.000	2.76	0.31	0.82	6131.7501	6.1318
242.276	1.11	2.60	0.44	0.00	9.43	0.99	1.06	18.71	0.19	1.45	0.09	0.023	2.02	0.27	0.80	6131.8226	6.1318
242.303	1.11	4.57	0.89	0.00	10.96	0.95	1.35	14.58	0.19	1.17	0.22	-0.004	5.62	0.86	0.81	6131.8973	6.1319
242.330	1.16	3.17	0.91	0.00	6.40	0.96	1.66	13.75	0.21	1.59	0.08	0.009	1.45	0.47	0.84	6131.9744	6.1320
242.357	1.03	3.57	0.67	0.08	13.24	0.95	1.74	12.72	0.19	1.58	0.14	0.024	6.08	0.72	0.63	6132.0522	6.1321
242.384	1.31	3.08	1.00	0.17	8.78	0.99	1.53	15.11	0.23	1.92	0.08	0.018	4.05	0.63	0.66	6132.127	6.1321
242.411	1.02	2.60	0.37	0.08	5.12	0.91	1.50	15.32	0.23	1.71	0.10	0.002	2.87	0.22	0.85	6132.2007	6.1322
242.438	1.21	3.80	2.57	0.00	9.82	0.97	1.71	13.90	0.21	1.49	0.15	0.011	2.35	0.55	0.67	6132.2755	6.1323
242.465	1.13	3.83	1.58	0.00	8.97	0.94	1.65	13.96	0.24	1.93	0.23	0.011	7.71	0.46	0.72	6132.3538	6.1324
242.493	1.39	2.39	0.64	0.08	4.84	0.94	1.75	14.75	0.20	1.42	0.14	0.069	1.90	0.28	0.73	6132.4411	6.1324
242.520	1.83	3.29	1.41	0.00	10.36	1.02	1.92	16.43	0.28	1.83	0.16	0.009	6.50	0.48	0.79	6132.5334	6.1325
242.547	1.07	3.60	0.83	0.00	5.79	0.97	1.61	14.98	0.24	1.68	0.08	0.006	2.05	0.55	0.79	6132.6362	6.1326
242.574	1.48	3.41	1.96	0.09	13.75	1.10	2.05	17.58	0.23	2.10	0.36	0.002	5.07	0.85	0.73	6132.7515	6.1328
242.601	1.73	5.76	0.91	0.08	15.61	1.04	1.73	17.07	0.22	1.36	0.34	0.036	3.03	0.64	1.08	6132.8818	6.1329
242.628	1.90	4.10	0.89	0.00	14.91	1.12	1.58	18.60	0.25	1.53	0.19	0.016	3.06	0.58	1.10	6133.0314	6.1330
242.655	0.85	2.70	0.25	0.00	5.47	0.99	1.45	16.67	0.27	1.62	0.07	0.005	4.01	0.21	0.79	6133.2703	6.1333
242.682	0.94	3.32	0.88	0.00	6.58	1.01	1.66	15.92	0.26	1.69	0.07	0.147	5.91	0.37	0.76	6133.5826	6.1336
242.709	1.39	2.03	0.41	0.09	5.19	1.05	1.81	14.85	0.22	3.10	0.13	0.026	4.58	0.22	0.64	6133.9026	6.1339
242.736	1.25	3.35	1.24	0.00	15.70	1.05	1.74	15.52	0.23	1.77	0.25	0.020	11.48	0.38	0.74	6134.1963	6.1342
242.763	1.47	4.47	1.31	0.08	25.00	1.00	1.51	16.00	0.21	1.67	0.22	0.002	5.33	1.18	0.79	6134.5094	6.1345
242.790	1.65	5.26	1.71	0.08	18.44	1.08	1.53	19.28	0.24	1.47	0.18	0.009	3.92	0.87	1.00	6134.8007	6.1348
242.817	1.32	2.99	0.91	0.00	7.30	1.04	1.18	21.75	0.20	1.61	0.09	0.015	2.97	0.41	1.09	6135.0219	6.1350
242.844	1.42	2.72	0.85	0.00	10.00	1.06	1.18	20.32	0.26	1.91	0.14	0.010	19.30	0.47	0.92	6135.19	6.1352
242.871	1.21	3.45	0.86	0.00	15.09	0.98	1.54	19.31	0.24	1.80	0.13	0.034	14.27	0.56	0.87	6135.3382	6.1353
242.898	1.23	3.44	0.67	0.00	7.71	1.07	1.70	19.84	0.24	1.63	0.33	0.009	3.24	0.67	0.88	6135.4705	6.1355
242.925	1.00	2.99	0.82	0.00	5.88	0.95	1.72	17.48	0.21	2.13	0.13	0.000	6.14	0.30	0.98	6135.5909	6.1356
242.952	1.44	3.00	1.05	0.00	5.72	1.08	1.98	17.94	0.22	1.96	0.18	0.007	1.78	0.42	0.77	6135.7035	6.1357
242.979	1.37	7.24	1.18	0.00	15.36	1.02	1.60	18.47	0.24	2.19	0.24	0.023	6.52	0.91	0.88	6135.8123	6.1358
243.007	1.15	3.37	1.68	0.00	10.41	0.98	1.77	16.40	0.23	1.88	0.34	0.013	10.03	0.80	0.99	6135.9255	6.1359
243.034	0.99	2.43	1.19	0.33	7.84	0.95	1.79	17.28	0.24	2.18	0.30	0.020	5.25	0.66	0.95	6136.0377	6.1360
243.061	1.30	3.51	1.18	0.00	12.95	0.97	1.80	20.25	0.24	2.20	0.19	0.017	7.67	0.44	0.97	6136.1408	6.1361
243.088	0.89	3.44	0.68	0.00	8.60	0.94	1.76	19.42	0.26	2.00	0.05	0.023	8.23	0.34	1.02	6136.234	6.1362
243.115	1.43	2.05	0.58	0.00	3.23	0.96	1.61	19.90	0.33	1.92	0.02	0.020	4.53	0.17	0.85	6136.3218	6.1363
243.142	1.32	1.57	0.77	0.00	5.83	1.02	1.64	23.13	0.25	1.56	0.05	0.011	5.04	0.16	0.94	6136.4087	6.1364
243.169	1.56	3.23	0.93	0.00	7.62	1.02	1.19	20.79	0.24	1.62	0.26	0.004	4.15	0.53	0.86	6136.4992	6.1365
243.196	1.26	4.66	1.18	0.08	17.81	0.98	1.46	21.44	0.22	2.00	0.25	0.028	18.28	1.11	1.16	6136.5976	6.1366
243.223	1.23	4.01	0.84	0.00	14.49	1.00	1.69	19.12	0.23	2.28	0.18	0.015	2.90	0.70	1.14	6136.7085	6.1367
243.250	1.32	2.35	0.80	0.09	4.57	1.02	1.97	18.93	0.23	2.07	0.13	0.015	7.08	0.36	1.01	6136.8362	6.1368
243.277	1.36	3.74	0.88	0.08	5.62	1.01	1.99	17.01	0.24	1.64	0.15	0.004	2.45	0.37	0.89	6136.9853	6.1370
243.304	1.36	3.14	0.88	0.09	7.81	0.96	2.00	18.15	0.21	1.81	0.09	0.012	2.75	1.01	0.92	6137.22	6.1372
243.331	1.22	3.54	0.55	0.00	12.07	0.98	1.55	15.73	0.26	1.83	0.25	0.007	2.22	0.38	0.78	6137.5508	6.1376
243.358	1.19	4.44	1.04	0.00	12.11	1.00	2.00	17.37	0.26	1.64	0.13	0.010	1.97	0.66	0.96	6137.8637	6.1379
243.385	1.44	4.32	0.85	0.09	11.76	1.08	1.71	15.77	0.22	2.02	0.31	0.004	4.02	0.69	0.88	6138.0579	6.1381
243.412	1.59	3.63	0.79	0.00	7.23	1.09	1.68	18.72	0.26	1.86	0.15	0.022	3.29	0.51	0.99	6138.2024	6.1382
243.439	1.77	2.23	1.51	0.09	13.43	0.97	1.81	16.45	0.25	1.63	0.09	0.089	8.34	0.48	0.71	6138.3312	6.1383
243.466	1.75	2.96	0.29	0.00	5.06	1.05	1.91	17.28	0.24	1.92	0.06	0.008	14.09	0.37	0.84	6138.4464	6.1384
243.493	1.29	1.80	0.68	0.00	7.66	1.04	2.13	20.33	0.26	1.94	0.03	0.006	4.11	0.28	0.95	6138.5501	6.1386
243.520	1.41	2.37	0.98	0.00	5.71	1.03	1.54	20.58	0.20	1.63	0.09	0.040	3.29	0.18	0.98	6138.6443	6.1386
243.548	1.52	2.08	0.93	0.00	10.63	1.11	1.44	21.66	0.20	1.75	0.14	0.019	4.60	0.54	1.11	6138.7343	6.1387
243.575	1.14	4.96	0.95	0.00	17.42	1.06	1.51	20.20	0.20	2.04	0.21	0.014	3.93	0.79	1.16	6138.8157	6.1388
243.602	1.32	3.79	0.76	0.09	7.10	1.08	1.62	18.33	0.24	1.91	0.08	0.006	2.25	0.42	1.09	6138.894	6.1389
243.629	1.28	3.82	0.65	0.00	7.61	1.02	1.95	15.88	0.30	1.62	0.10	0.024	2.86	0.45	0.89	6138.9712	6.1390
243.656	1.13	3.63	0.77	0.08	10.58	0.99	1.93	15.54	0.27	1.82	0.14	0.015	4.06	0.39	0.83	6139.0481	6.1390
243.683	1.33	3.92	1.36	0.08	12.31	1.04	1.63	17.67	0.30	1.67	0.23	0.002	5.45	0.53	1.06	6139.1212	6.1391
243.710	1.42	3.13	0.90	0.08	9.01	1.07	1.16	21.64	0.28	1.80	0.10	0.045	8.00	0.66	1.27	6139.1905	6.1392
243.737	1.51	4.11	1.93	0.09	11.69	1.08	0.97	23.83	0.28	1.66	0.09	0.000	3.00	0.30	1.28	6139.2566	6.1393
243.764	1.55	3.83	0.54	0.17	8.52	1.05	1.29	20.71	0.23	1.86	0.07	0.000	4.18	0.31	1.23	6139.3198	6.1393
243.791	1.22	3.17	0.42	0.00	9.33	1.01	1.63	15.82	0.25	1.76	0.13	0.006	16.22	0.50	0.84	6139.3808	6.1394
243.818	1.43	4.68	1.17	0.08	10.56	1.05	1.80	16.82	0.29	2.16	0.06	0.017	3.74	0.73	1.04	6139.4399	6.1394
243.845	1.39	3.60	0.92	0.00	8.17	1.07	1.71	18.12	0.29	2.01	0.09	0.006	2.90	0.43	1.06	6139.4978	6.1395
243.872	1.47	3.05	0.87	0.09	9.65	1.09	1.87	17.09	0.27	1.91	0.18	0.037	8.69	0.30	1.05	6139.5549	6.1396
243.899	1.25	3.57	0.91	0.08	13.57	1.01	1.74	16.09	0.23	1.69	0.24	0.004	4.52	0.38	1.13	6139.6116	6.1396
243.926	1.62	5.57	1.79	0.00	13.07	1.10	1.90	16.18	0.24	2.16	0.26	0.021	4.75	0.80	1.38	6139.6686	6.1397
243.953	1.30	2.95	0.78	0.08	8.07	1.05	1.88	15.77	0.29	1.73	0.17	0.021	2.86	0.41	1.20	6139.7262	6.1397
243.980	1.33	5.25	2.93	0.00	16.53	1.01	1.74	15.18	0.26	1.95	0.19	0.020	10.75	0.93	1.09	6139.785	6.1398
244.007	1.92	6.67	1.72	0.00	16.57	1.04	1.88	15.65	0.32	1.97	0.31	0.030	5.93	1.01	1.11	6139.8454	6.1398
244.034	1.46	5.55	1.36	0.17	20.39	1.00	2.05	17.93	0.28	2.06	0.40	0.002	7.37	0.94	1.55	6139.908	6.1399
244.061	1.78	5.05	4.02	0.00	12.91	0.98	1.49	17.48	0.25	2.11	0.20	0.009	4.99	0.97	1.60	6139.9733	6.1400
244.089	1.78	3.77	1.38	0.08	12.48	1.05	1.46	19.72	0.24	1.86	0.25	0.011	15.11	1.54	1.68	6140.0443	6.1400
244.116	1.49	1.92	0.78	0.00	6.16	1.05	1.64	19.37	0.25	2.30	0.07	0.013	6.64	0.12	1.79	6140.1162	6.1401
244.143	1.45	3.57	1.32	0.00	20.78	1.06	2.01	18.48	0.28	2.54	0.21	0.016	8.53	0.43	1.59	6140.1909	6.1402
244.170	1.51	4.98	0.91	0.24	11.99	0.98	2.07	17.73	0.25	2.24	0.17	0.004	5.32	0.63	1.57	6140.2679	6.1403
244.197	1.95	4.57	1.42	0.00	14.00	1.07	2.07	16.80	0.26	2.63	0.19	0.009	12.41	1.01	1.56	6140.3467	6.1403
244.224	1.54	3.39	0.69	0.08	17.39	1.07	2.39	16.00	0.23	2.84	0.11	0.041	15.55	0.36	1.72	6140.4267	6.1404
244.251	1.55	3.79	0.74	0.08	6.80	1.04	2.55	16.40	0.23	2.65	0.05	0.014	2.52	0.20	1.47	6140.5073	6.1405
244.278	1.81	2.60	0.48	0.08	4.45	1.10	2.47	16.37	0.22	2.42	0.09	0.025	3.53	0.54	1.56	6140.5881	6.1406
244.305	1.76	3.66	1.37	0.00	13.06	1.17	2.79	18.90	0.32	2.19	0.15	0.017	5.82	0.47	1.84	6140.6684	6.1407
244.332	1.64	2.91	1.00	0.00	6.54	1.06	3.07	18.69	0.32	2.59	0.05	0.022	3.87	0.40	1.87	6140.7478	6.1407
244.359	1.33	2.56	1.09	0.09	7.02	1.04	3.18	19.51	0.34	2.71	0.11	0.004	2.47	0.39	1.89	6140.8257	6.1408
244.386	1.21	3.13	0.62	0.00	12.15	0.96	2.65	18.66	0.31	2.06	0.17	0.023	5.74	0.50	1.90	6140.9015	6.1409
244.413	1.31	3.19	0.77	0.09	16.93	0.99	2.33	16.37	0.31	2.08	0.22	0.004	7.04	0.70	1.53	6140.9748	6.1410
244.440	1.30	2.61	0.58	0.00	10.85	0.89	1.89	13.71	0.34	1.80	0.11	0.007	6.63	0.53	1.27	6141.0453	6.1410
244.467	1.53	3.54	0.86	0.09	7.19	0.93	2.31	13.93	0.38	2.23	0.21	0.010	1.87	0.23	1.29	6141.1139	6.1411
244.494	1.41	4.00	0.97	0.09	9.97	0.99	2.23	13.39	0.33	2.24	0.20	0.002	4.07	0.46	1.38	6141.1811	6.1412
244.521	1.54	3.33	0.73	0.17	9.90	0.96	1.93	12.43	0.33	2.13	0.10	0.015	3.63	0.64	1.28	6141.247	6.1412
244.548	1.50	2.55	0.78	0.08	5.91	0.95	2.26	13.57	0.32	2.30	0.09	0.009	4.96	0.55	1.32	6141.3121	6.1413
244.575	1.67	2.96	1.03	0.00	12.77	0.89	2.10	13.68	0.29	2.20	0.17	-0.002	9.32	0.07	1.33	6141.3766	6.1414
244.603	1.10	4.15	0.90	0.59	8.85	0.86	2.06	13.37	0.29	2.05	0.10	0.067	9.93	0.40	1.32	6141.4432	6.1414
244.630	1.32	3.95	2.06	0.17	12.78	0.79	2.04	15.27	0.32	1.73	0.26	0.017	5.33	0.40	1.53	6141.5074	6.1415
244.657	1.44	3.40	1.16	0.00	10.12	0.80	1.74	16.49	0.28	2.23	0.16	0.034	2.65	0.43	1.71	6141.5719	6.1416
244.684	1.06	3.21	0.94	0.00	14.65	0.74	1.93	17.37	0.33	2.08	0.28	0.008	8.47	0.31	1.61	6141.637	6.1416
244.711	1.04	2.22	1.39	0.00	7.51	0.72	1.59	17.74	0.30	1.68	0.07	0.006	7.31	0.43	1.54	6141.7031	6.1417
244.738	1.41	1.76	0.82	0.00	4.30	0.80	1.35	16.95	0.30	1.28	0.16	0.012	4.37	0.19	1.18	6141.7703	6.1418
244.765	1.29	2.23	1.51	0.00	10.58	0.77	1.71	17.09	0.30	1.81	0.12	0.006	8.08	0.23	1.32	6141.8391	6.1418
244.792	1.07	3.16	1.55	0.17	8.14	0.79	1.58	16.26	0.30	1.67	0.27	0.000	8.02	0.36	1.40	6141.9096	6.1419
244.819	1.43	2.06	1.58	0.09	13.34	0.80	1.34	15.83	0.30	1.73	0.24	0.023		0.46	1.13	6141.9823	6.1420
244.846	1.28	2.27	0.97	0.00	6.68	0.86	1.42	15.63	0.25	1.38	0.14	0.008	31.73	0.62	0.96	6142.0558	6.1421
244.873	0.88	2.66	0.76	0.00	6.47	0.87	1.17	15.19	0.24	1.80	0.08	0.011	3.37	0.20	1.18	6142.1276	6.1421
